match_no,match_name,match_type,match_date,match_time,match_venue,match_href,match_team1,match_team2,winning_team
1,MUMBAI INDIANS vs ROYAL CHALLENGERS BENGALURU,League,"Apr 09,2021",7:30 PM,"MA Chidambaram Stadium, Chennai",https://www.cricbuzz.com/cricket-scores/35612/mi-vs-rcb-1st-match-indian-premier-league-2021,MUMBAI INDIANS,ROYAL CHALLENGERS BENGALURU,ROYAL CHALLENGERS BANGALORE
2,CHENNAI SUPER KINGS vs DELHI CAPITALS,League,"Apr 10,2021",7:30 PM,"Wankhede Stadium, Mumbai",https://www.cricbuzz.com/cricket-scores/35617/csk-vs-dc-2nd-match-indian-premier-league-2021,CHENNAI SUPER KINGS,DELHI CAPITALS,DELHI CAPITALS
3,SUNRISERS HYDERABAD vs KOLKATA KNIGHT RIDERS,League,"Apr 11,2021",7:30 PM,"MA Chidambaram Stadium, Chennai",https://www.cricbuzz.com/cricket-scores/35618/srh-vs-kkr-3rd-match-indian-premier-league-2021,SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS,KOLKATA KNIGHT RIDERS
4,RAJASTHAN ROYALS vs PUNJAB KINGS,League,"Apr 12,2021",7:30 PM,"Wankhede Stadium, Mumbai",https://www.cricbuzz.com/cricket-scores/35622/rr-vs-pbks-4th-match-indian-premier-league-2021,RAJASTHAN ROYALS,PUNJAB KINGS,PUNJAB KINGS
5,KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS,League,"Apr 13,2021",7:30 PM,"MA Chidambaram Stadium, Chennai",https://www.cricbuzz.com/cricket-scores/35627/kkr-vs-mi-5th-match-indian-premier-league-2021,KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,MUMBAI INDIANS
6,SUNRISERS HYDERABAD vs ROYAL CHALLENGERS BENGALURU,League,"Apr 14,2021",7:30 PM,"MA Chidambaram Stadium, Chennai",https://www.cricbuzz.com/cricket-scores/35628/srh-vs-rcb-6th-match-indian-premier-league-2021,SUNRISERS HYDERABAD,ROYAL CHALLENGERS BENGALURU,ROYAL CHALLENGERS BANGALORE
7,RAJASTHAN ROYALS vs DELHI CAPITALS,League,"Apr 15,2021",7:30 PM,"Wankhede Stadium, Mumbai",https://www.cricbuzz.com/cricket-scores/35632/rr-vs-dc-7th-match-indian-premier-league-2021,RAJASTHAN ROYALS,DELHI CAPITALS,RAJASTHAN ROYALS
8,PUNJAB KINGS vs CHENNAI SUPER KINGS,League,"Apr 16,2021",7:30 PM,"Wankhede Stadium, Mumbai",https://www.cricbuzz.com/cricket-scores/35637/pbks-vs-csk-8th-match-indian-premier-league-2021,PUNJAB KINGS,CHENNAI SUPER KINGS,CHENNAI SUPER KINGS
9,MUMBAI INDIANS vs SUNRISERS HYDERABAD,League,"Apr 17,2021",7:30 PM,"MA Chidambaram Stadium, Chennai",https://www.cricbuzz.com/cricket-scores/35642/mi-vs-srh-9th-match-indian-premier-league-2021,MUMBAI INDIANS,SUNRISERS HYDERABAD,MUMBAI INDIANS
10,ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS,League,"Apr 18,2021",3:30 PM,"MA Chidambaram Stadium, Chennai",https://www.cricbuzz.com/cricket-scores/35643/rcb-vs-kkr-10th-match-indian-premier-league-2021,ROYAL CHALLENGERS BENGALURU,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE
