year,series_name,match_type,match_no,match_date,match_winning_team,match_toss,innings,ball_no,over_no,ball_commentary
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,1,1,Players are out in the middle. Chris Lynn for the first time in MI's blue. He's not on strike though. It'll be captain Rohit Sharma against Mohammed Siraj. Let the IPL begin.
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,2,1,Players are out in the middle. Chris Lynn for the first time in MI's blue. He's not on strike though. It'll be captain Rohit Sharma against Mohammed Siraj. Let the IPL begin.
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,3,1,Players are out in the middle. Chris Lynn for the first time in MI's blue. He's not on strike though. It'll be captain Rohit Sharma against Mohammed Siraj. Let the IPL begin.
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,4,1,Players are out in the middle. Chris Lynn for the first time in MI's blue. He's not on strike though. It'll be captain Rohit Sharma against Mohammed Siraj. Let the IPL begin.
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,5,1,"MI last five games at Chepauk: W.W.W.W.W
RCB last five games at Chepauk: L.L.L.L.L
RCB's last win and MI's last defeat here came in the second Qualifier in 2011 when RCB beat MI by 43 runs."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,6,1,"How did Mumbai Indians form such a solid team? Former Proteas Performance Analyst, Prasanna Agoram - fondly known as PDogg - helps us understand their success mantra through this exclusive on Cricbuzz Plus."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,7,1,"Mumbai Indians (Playing XI): Rohit Sharma(c), Chris Lynn, Suryakumar Yadav, Ishan Kishan(w), Hardik Pandya, Kieron Pollard, Krunal Pandya, Rahul Chahar, Marco Jansen, Trent Boult, Jasprit Bumrah"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,8,1,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Rajat Patidar, AB de Villiers(w), Glenn Maxwell, Daniel Christian, Washington Sundar, Kyle Jamieson, Harshal Patel, Mohammed Siraj, Shahbaz Ahmed, Yuzvendra Chahal"
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,9,1,"Rohit: Would've fielded first as well. But as a team we've batted well over the years. Nothing different for us. Bat well in the powerplay and set the game up for the big hitters. The entire square has been changed. Recently played a couple of Tests. Need to do what we do as a team, put our best foot forward. For us it's a fresh year, don't need to look at what's happened in the past. Fresh year, new faces as well. Important for us to start well which we haven;t done in this tournament. Last game we played was a final in Dubai. Got only two changes from that lineup. Quinny is in quarantine, so he isn't available. Lynn will make debut. And we have a six foot eight inch South African, Marco Jensen."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,10,1,"Kohli: It's unbelievable, bit of a mini break helped me I guess to win a toss. Going to bowl first. They're a side who likes chasing. Good chance for us to get onto the park and create some intensity. With the balance we have this year we can do both, but have to understand who you're playing against. We understand with the depth they have they have never out of the game. Bowling first was a no-brainer for us. Every year IPL has a different energy, a different vibe. It's high intensity. Playing for the same franchise has been an honour for me. Loyalty is a big thing for me. Dubai was great as well but this just feels like home. Great feeling to be playing in our stadiums and for people to watch in our prime times. Three guys making their debut: Maxwell, Jamieson, Christian is back after eight years for the same franchise. Rajat Patidar makes his debut as well. Padikkal has been recommended rest."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,11,1,Royal Challengers Bangalore have won the toss and have opted to field
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,12,1,"""When I look at this ground, feels deceptively small but it isn't. Test match pitch was totally different. This one looks a lot better. New ball will come on to the bat nicely, but the problem will arrive once the ball gets old. Once the spinners come into play, there will be a lot of deviation,"" reckons L Sivaramakrishnan along with Danny Morrison in the pitch report."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,13,1,"6.40pm local: For those asking, looks like de Kock won't be part of the team today for MI. In fact, Chris Lynn has been handed his cap by Rohit Sharma. There's also a surpise debut lined up for Marco Jansen, a 20-year old left-arm pacer from South Africa."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,14,1,"6.30pm local: RCB played the season opener at Chepauk in 2019, and were bowled out for a shocking 70 runs. The pitch this time though is expected to be more sporting. In general, however, spinners should be a much happier bunch with the tournament coming back to India. It will be interesting to see how Mumbai, traditionally a pace-heavy outfit, cope with it, given their pacers won't have the comforts of the Wankhede to rely on either."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,15,1,"6.15pm local: New picks, record buys, neutral venues, new captains - all of this will be part of the flavour of this year's IPL. But will this new flavour also entail Mumbai Indians breaking the trend of losing season openers? They're up against the Royal Challengers Bangalore today, a team they've historically done very well against. ""The journey of Mumbai Indians though has come to a point where there are more ghosts to fear in the Indian Premier League opener than in the final. Several of their players have laughed off the thought of what ails them in the first stop and suggest that the winless run since 2012 is beyond their understanding,"" Aayush Puthran writes in the preview below."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,16,1,"5.45pm IST: There's a lot riding on this tournament for the players as they gear up for the T20 World Cup later this year. A final chance to really smash the door down for those on the outside: the likes of Prithvi Shaw, R Ashwin, Sanju Samson among others. Players not in form, like KL Rahul, will be desperate to regain it. And the focus will be to stay away from injuries as well. What're your predictions for the player to watch out for this time around. Go ahead, tell us in the comments that've now been enabled."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,17,1,"But in the times we're living in, the IPL does come as a much-needed respite for many. TV figures for the 2020 edition were through the roof, with nearly half of India's audience tuning into the competition. Fingers crossed this season runs as smoothly as that one did, although it's going to be a hell of a challenge over the next couple of months. Anyway, thanks for joining us today. This is Sagar Chawla welcoming you to our live coverage as we get ready for everything that the cricket has to offer."
2021,Indian Premier League,T20 IPL,1st Match,"April 9, 2021",Royal Challengers Bangalore,"Royal Challengers Bangalore, who chose to field",Mumbai Indians,18,1,"5.30pm IST: Hello to everyone joining in early for a whole new season of the IPL. Only around five months since the night when Mumbai Indians lifted their .. fifth, was it? .. trophy, the tournament is back again, raising anticipation levels and scoffing at the very idea of viewer fatigue. And it's back home too as it returns from the UAE where it had been moved last year due to the pandemic. The threat of Covid-19 has gone nowhere though. It has only intensified in the form of a second wave that's hit India hard these last few weeks. Concerns have been growing along with the tally of positive cases in and around the IPL; spectators, who briefly made a return, are once again banned from stadiums; the tournament itself will follow a caravan format across six cities; and, of course, there are the intricately layered bio-bubbles that franchises have to contend with."
