invoice_no,customer_id,mall_id,payment_id,invoice_date
I100008,C199951,7,3,2022-07-10
I100014,C138893,9,3,2021-06-18
I100015,C132779,6,2,2021-03-04
I100024,C244411,7,1,2023-01-05
I100027,C150002,6,3,2022-05-18
I100028,C325553,3,1,2021-06-19
I100031,C378408,7,1,2022-06-23
I100033,C278721,10,1,2021-10-19
I100037,C122873,1,2,2021-06-06
I100041,C326923,6,3,2022-07-24
I100049,C297871,6,2,2021-12-26
I100053,C217294,3,1,2023-01-02
I100057,C225062,2,1,2021-10-13
I100059,C292544,3,2,2021-06-14
I100068,C647308,4,1,2021-08-13
I100071,C522050,6,3,2021-10-16
I100072,C143773,4,2,2021-08-10
I100077,C356550,7,1,2021-02-03
I100078,C272831,6,1,2021-07-10
I100080,C696236,4,1,2022-04-26
I100082,C357288,8,3,2021-12-31
I100084,C226369,1,1,2022-10-09
I100089,C123196,7,3,2022-03-27
I100090,C801451,3,1,2021-04-17
I100094,C246470,4,3,2021-12-18
I100095,C608046,5,3,2021-11-23
I100097,C673123,6,1,2022-08-24
I100098,C228071,8,3,2021-11-16
I100105,C246820,1,2,2022-04-15
I100106,C850385,4,1,2021-09-12
I100108,C331773,8,1,2021-08-06
I100111,C314731,3,2,2022-09-13
I100113,C136435,10,1,2021-01-31
I100116,C235320,4,3,2022-11-18
I100126,C103405,7,1,2022-03-26
I100127,C708853,8,2,2021-11-16
I100128,C168282,5,1,2022-07-16
I100137,C233463,6,3,2021-05-16
I100138,C237364,6,3,2021-06-19
I100142,C161659,4,2,2021-08-28
I100145,C153189,1,2,2022-12-10
I100146,C320745,7,1,2022-04-25
I100148,C200488,10,3,2022-04-16
I100149,C193896,6,3,2021-11-17
I100151,C315218,1,3,2021-07-23
I100152,C265676,6,1,2021-02-25
I100155,C312476,4,1,2021-06-29
I100156,C462935,4,1,2021-01-25
I100161,C262871,1,3,2021-04-11
I100168,C135319,10,3,2021-11-15
I100173,C190374,4,3,2021-05-18
I100174,C286570,6,3,2021-12-07
I100181,C123341,3,3,2022-04-18
I100184,C131276,1,3,2022-09-18
I100186,C222236,10,2,2023-01-30
I100187,C178869,3,1,2021-07-28
I100192,C161234,6,2,2021-11-17
I100193,C149918,5,2,2022-02-26
I100195,C322199,6,2,2022-12-20
I100198,C136883,8,1,2021-07-18
I100199,C275614,5,3,2022-02-25
I100200,C948033,3,3,2021-07-28
I100201,C982027,5,3,2021-03-20
I100202,C182496,1,1,2022-11-20
I100205,C220151,5,1,2021-06-26
I100207,C452901,3,1,2021-04-19
I100211,C239527,3,2,2021-02-10
I100212,C282695,1,1,2021-08-31
