invoice_item_id,invoice_no,category_id,quantity,price
1,I138884,1,5,1500.40
2,I317333,2,3,1800.51
3,I127801,1,1,300.08
4,I173702,2,5,3000.85
5,I337046,3,4,60.60
6,I227836,1,5,1500.40
7,I121056,4,1,40.66
8,I293112,1,2,600.16
9,I293455,1,3,900.24
10,I326945,1,2,600.16
11,I306368,5,2,10.46
12,I139207,3,1,15.15
13,I640508,6,4,143.36
14,I179802,1,2,600.16
15,I336189,1,2,600.16
16,I688768,2,5,3000.85
17,I294687,3,2,30.30
18,I195744,5,3,15.69
19,I993048,1,2,600.16
20,I992454,6,4,143.36
21,I183746,1,1,300.08
22,I412481,5,1,5.23
23,I823067,1,2,600.16
24,I252275,7,5,5250.00
25,I174250,3,5,75.75
26,I195396,6,2,71.68
27,I196704,4,5,203.30
28,I217053,2,4,2400.68
29,I655874,2,3,1800.51
30,I209744,4,3,121.98
31,I161949,6,3,107.52
32,I331891,1,1,300.08
33,I768348,2,3,1800.51
34,I109053,1,4,1200.32
35,I167211,2,4,2400.68
36,I339732,5,1,5.23
37,I147062,1,5,1500.40
38,I187519,1,2,600.16
39,I106674,1,2,600.16
40,I473411,1,1,300.08
41,I246550,5,3,15.69
42,I138674,4,2,81.32
43,I752693,4,3,121.98
44,I826174,2,4,2400.68
45,I296025,2,3,1800.51
46,I117291,3,5,75.75
47,I267193,4,3,121.98
48,I205366,1,4,1200.32
49,I269690,4,3,121.98
50,I304265,3,5,75.75
51,I246562,4,5,203.30
52,I202367,3,3,45.45
53,I664787,4,2,81.32
54,I160777,7,4,4200.00
55,I137794,5,3,15.69
56,I148377,1,1,300.08
57,I258195,6,2,71.68
58,I300213,1,4,1200.32
59,I263803,5,3,15.69
60,I335713,3,4,60.60
61,I133061,1,5,1500.40
62,I207205,1,1,300.08
63,I209289,1,4,1200.32
64,I157285,1,4,1200.32
65,I218590,4,4,162.64
66,I181109,6,3,107.52
67,I221715,5,3,15.69
68,I204979,8,5,58.65
69,I115146,4,5,203.30
70,I883721,7,5,5250.00
71,I402376,2,5,3000.85
72,I251356,4,4,162.64
73,I292239,5,5,26.15
74,I276526,2,5,3000.85
75,I260525,6,3,107.52
76,I870944,8,3,35.19
77,I739573,1,5,1500.40
78,I115870,2,4,2400.68
79,I190444,5,5,26.15
80,I309552,5,4,20.92
81,I306076,6,2,71.68
82,I321683,4,4,162.64
83,I151332,8,2,23.46
84,I340014,1,2,600.16
85,I249424,5,1,5.23
86,I227716,5,2,10.46
87,I140663,1,5,1500.40
88,I253242,2,5,3000.85
89,I108359,5,1,5.23
90,I195567,1,4,1200.32
91,I289643,7,2,2100.00
92,I722319,6,1,35.84
93,I317105,8,5,58.65
94,I215721,4,2,81.32
95,I154469,6,3,107.52
96,I172458,1,2,600.16
97,I297270,1,5,1500.40
98,I153930,5,3,15.69
99,I282854,1,3,900.24
100,I869144,5,4,20.92
101,I283443,7,3,3150.00
102,I193271,5,3,15.69
103,I985478,1,4,1200.32
104,I200392,1,5,1500.40
105,I256691,4,1,40.66
106,I796162,5,5,26.15
107,I224371,1,5,1500.40
108,I215998,1,5,1500.40
109,I338966,1,5,1500.40
110,I293215,4,4,162.64
111,I149688,1,4,1200.32
112,I109649,5,3,15.69
113,I299820,3,3,45.45
114,I157775,1,1,300.08
115,I317140,8,5,58.65
116,I147334,1,2,600.16
117,I278121,6,4,143.36
118,I134452,1,1,300.08
119,I320846,1,4,1200.32
120,I740676,1,2,600.16
121,I142331,4,4,162.64
122,I222983,1,1,300.08
123,I164665,7,2,2100.00
124,I133387,6,4,143.36
125,I276763,6,5,179.20
126,I273890,1,3,900.24
127,I774221,5,5,26.15
128,I202171,1,1,300.08
129,I219780,1,2,600.16
130,I160221,1,3,900.24
131,I106691,1,4,1200.32
132,I129886,5,5,26.15
133,I745394,5,1,5.23
134,I157056,1,5,1500.40
135,I304531,1,1,300.08
136,I762439,3,4,60.60
137,I300972,4,1,40.66
138,I151588,3,3,45.45
139,I657069,1,4,1200.32
140,I122655,7,2,2100.00
141,I236914,1,3,900.24
142,I247471,6,1,35.84
143,I362306,1,1,300.08
144,I215279,1,2,600.16
145,I216061,5,3,15.69
146,I246375,4,2,81.32
147,I103596,2,5,3000.85
148,I259878,1,4,1200.32
149,I206422,5,2,10.46
150,I201704,5,3,15.69
151,I168037,6,4,143.36
152,I307534,4,4,162.64
153,I259196,6,4,143.36
154,I141241,8,5,58.65
155,I289973,5,5,26.15
156,I147203,4,5,203.30
157,I323788,1,1,300.08
158,I285454,8,5,58.65
159,I288152,7,3,3150.00
160,I134126,1,1,300.08
161,I311052,1,4,1200.32
162,I176469,5,2,10.46
163,I167993,6,2,71.68
164,I222086,1,5,1500.40
165,I164597,1,1,300.08
166,I184307,5,1,5.23
167,I289905,4,4,162.64
