name,href,role,profile_id
Rohit sharma,https://www.cricbuzz.com/profiles/576/rohit-sharma,captain,576
Chris lynn,https://www.cricbuzz.com/profiles/7752/chris-lynn,playing_11,7752
Suryakumar yadav,https://www.cricbuzz.com/profiles/7915/suryakumar-yadav,playing_11,7915
Ishan kishan,https://www.cricbuzz.com/profiles/10276/ishan-kishan,wicket_keeper,10276
Hardik pandya,https://www.cricbuzz.com/profiles/9647/hardik-pandya,playing_11,9647
Kieron pollard,https://www.cricbuzz.com/profiles/657/kieron-pollard,playing_11,657
Krunal pandya,https://www.cricbuzz.com/profiles/11311/krunal-pandya,playing_11,11311
Rahul chahar,https://www.cricbuzz.com/profiles/12087/rahul-chahar,playing_11,12087
Marco jansen,https://www.cricbuzz.com/profiles/14565/marco-jansen,playing_11,14565
Trent boult,https://www.cricbuzz.com/profiles/8117/trent-boult,playing_11,8117
Jasprit bumrah,https://www.cricbuzz.com/profiles/9311/jasprit-bumrah,playing_11,9311
Virat kohli,https://www.cricbuzz.com/profiles/1413/virat-kohli,captain,1413
Rajat patidar,https://www.cricbuzz.com/profiles/10636/rajat-patidar,playing_11,10636
Ab de villiers,https://www.cricbuzz.com/profiles/370/ab-de-villiers,wicket_keeper,370
Glenn maxwell,https://www.cricbuzz.com/profiles/7662/glenn-maxwell,playing_11,7662
Daniel christian,https://www.cricbuzz.com/profiles/6283/daniel-christian,playing_11,6283
Washington sundar,https://www.cricbuzz.com/profiles/10945/washington-sundar,playing_11,10945
Kyle jamieson,https://www.cricbuzz.com/profiles/9441/kyle-jamieson,playing_11,9441
Harshal patel,https://www.cricbuzz.com/profiles/8175/harshal-patel,playing_11,8175
Mohammed siraj,https://www.cricbuzz.com/profiles/10808/mohammed-siraj,playing_11,10808
Shahbaz ahmed,https://www.cricbuzz.com/profiles/14606/shahbaz-ahmed,playing_11,14606
Yuzvendra chahal,https://www.cricbuzz.com/profiles/7910/yuzvendra-chahal,playing_11,7910
Nathan coulter nile,https://www.cricbuzz.com/profiles/7774/nathan-coulter-nile,bench,7774
Piyush chawla,https://www.cricbuzz.com/profiles/466/piyush-chawla,bench,466
Dhawal kulkarni,https://www.cricbuzz.com/profiles/1451/dhawal-kulkarni,bench,1451
Saurabh tiwary,https://www.cricbuzz.com/profiles/1601/saurabh-tiwary,bench,1601
Aditya tare,https://www.cricbuzz.com/profiles/6315/aditya-tare,bench,6315
Adam milne,https://www.cricbuzz.com/profiles/7625/adam-milne,bench,7625
Jayant yadav,https://www.cricbuzz.com/profiles/8182/jayant-yadav,bench,8182
Anmolpreet singh,https://www.cricbuzz.com/profiles/10947/anmolpreet-singh,bench,10947
Quinton de kock,https://www.cricbuzz.com/profiles/8520/quinton-de-kock,bench,8520
Anukul roy,https://www.cricbuzz.com/profiles/12344/anukul-roy,bench,12344
Mohsin khan,https://www.cricbuzz.com/profiles/13534/mohsin-khan,bench,13534
Arjun tendulkar,https://www.cricbuzz.com/profiles/13747/arjun-tendulkar,bench,13747
Yudhvir singh charak,https://www.cricbuzz.com/profiles/15749/yudhvir-singh-charak,bench,15749
James neesham,https://www.cricbuzz.com/profiles/8983/james-neesham,bench,8983
Adam zampa,https://www.cricbuzz.com/profiles/8642/adam-zampa,bench,8642
Devdutt padikkal,https://www.cricbuzz.com/profiles/13088/devdutt-padikkal,bench,13088
Sachin baby,https://www.cricbuzz.com/profiles/8709/sachin-baby,bench,8709
Navdeep saini,https://www.cricbuzz.com/profiles/9715/navdeep-saini,bench,9715
Kane richardson,https://www.cricbuzz.com/profiles/6262/kane-richardson,bench,6262
Srikar bharat,https://www.cricbuzz.com/profiles/9025/srikar-bharat,bench,9025
Pavan deshpande,https://www.cricbuzz.com/profiles/10364/pavan-deshpande,bench,10364
Finn allen,https://www.cricbuzz.com/profiles/11172/finn-allen,bench,11172
Suyash prabhudessai,https://www.cricbuzz.com/profiles/12669/suyash-prabhudessai,bench,12669
Mohammed azharuddeen,https://www.cricbuzz.com/profiles/10809/mohammed-azharuddeen,bench,10809
Ruturaj gaikwad,https://www.cricbuzz.com/profiles/11813/ruturaj-gaikwad,playing_11,11813
Faf du plessis,https://www.cricbuzz.com/profiles/7825/faf-du-plessis,playing_11,7825
Suresh raina,https://www.cricbuzz.com/profiles/413/suresh-raina,playing_11,413
Ambati rayudu,https://www.cricbuzz.com/profiles/6311/ambati-rayudu,playing_11,6311
Moeen ali,https://www.cricbuzz.com/profiles/6692/moeen-ali,playing_11,6692
Ms dhoni,https://www.cricbuzz.com/profiles/265/ms-dhoni,captain and wk,265
Ravindra jadeja,https://www.cricbuzz.com/profiles/587/ravindra-jadeja,playing_11,587
Sam curran,https://www.cricbuzz.com/profiles/10420/sam-curran,playing_11,10420
Dwayne bravo,https://www.cricbuzz.com/profiles/242/dwayne-bravo,playing_11,242
Shardul thakur,https://www.cricbuzz.com/profiles/8683/shardul-thakur,playing_11,8683
Deepak chahar,https://www.cricbuzz.com/profiles/7836/deepak-chahar,playing_11,7836
Shikhar dhawan,https://www.cricbuzz.com/profiles/1446/shikhar-dhawan,playing_11,1446
Prithvi shaw,https://www.cricbuzz.com/profiles/12094/prithvi-shaw,playing_11,12094
